"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",9601.94190421366,-0.316434310572311,0.115183292158638,-2.74722405170098,0.00601020611835993,0.0988486011341409
"ENSDARG00000102407",185.067912381831,-0.493506241738555,0.1585561808848,-3.11250081191798,0.00185509503628066,0.0515440474727379
"ENSDARG00000102097",104.466666577148,-0.29720433715998,0.24892221807382,-1.19396468286267,0.232491783399962,0.5564543385137
"ENSDARG00000099640",226.152129082323,-0.184227633363771,0.180298960489505,-1.0217897699665,0.306880412226315,0.633642484071999
"ENSDARG00000104071",199.690086542714,-0.165406836431072,0.145183927703069,-1.13929164920626,0.254581530263415,0.581589176304491
"ENSDARG00000102746",449.399734814312,-0.352489758724551,0.150517827559166,-2.34184723790272,0.0191885670736259,0.176005165626339
"ENSDARG00000103929",454.393295790581,-0.0471608832443811,0.117546717205723,-0.401209700836162,0.688265739135591,0.873282046170065
"ENSDARG00000101073",31.340327464628,-0.247631693642544,0.304801419913568,-0.81243615503092,0.416541407297864,0.719608123334134
"ENSDARG00000100223",1331.93080028754,-0.113685989262506,0.0838117471107693,-1.35644456990323,0.17495776044879,0.489724105468357
"ENSDARG00000100782",82.0917373997138,-0.480769885077338,0.191205106840208,-2.51441968795908,0.0119228454817394,0.139518055584761
"ENSDARG00000034862",123.701941268663,-0.0756839885644605,0.207689580992188,-0.364409173550729,0.715552486232946,0.88655300403475
"ENSDARG00000075827",124.218378162857,-0.419806502813342,0.192596865497831,-2.17971617413508,0.0292785068869391,0.213936346945352
"ENSDARG00000088581",1131.92722333403,0.135546245364688,0.108461854342275,1.24971351620951,0.211404218077329,0.5335935630097
"ENSDARG00000076900",45.2977505540731,-0.157995485783756,0.260868508248199,-0.605651816099758,0.54474598645939,0.798783026681001
"ENSDARG00000013802",240.123938180416,-0.0413040979882589,0.129624761974651,-0.318643578272,0.749996803911344,0.902101464107101
"ENSDARG00000096578",542.274478106565,-0.138728830774544,0.0945520421874463,-1.46722194005624,0.142315690395056,0.450281743190626
"ENSDARG00000109848",1.46597838443655,0.175166671456831,1.44246194445237,0.121435904864258,0.903345779336192,NA
"ENSDARG00000100181",164.54852596522,-0.0273248159526959,0.155957380501164,-0.175206943492437,0.860917028607683,0.950807469264826
"ENSDARG00000029936",137.938057985215,-0.16947990101762,0.143156398586847,-1.18387932841719,0.236460834104214,0.560563491586845
"ENSDARG00000041589",23.1572646293228,-0.546810574541292,0.326021077121906,-1.67722461188247,0.0934985679970067,0.371403209984844
"ENSDARG00000041592",353.166236081498,-0.0181819182908782,0.118559225809823,-0.15335726230233,0.878116545886946,0.957207988023763
"ENSDARG00000075108",77.8607532820518,-0.0492220348078369,0.234596173810363,-0.2098160170661,0.833811271499485,0.939306993751898
"ENSDARG00000016304",220.19817543987,-0.22867817730298,0.124383812311921,-1.8384882490136,0.0659904918471043,0.317883706238034
"ENSDARG00000058803",358.138279064155,0.143388097635283,0.13036126718178,1.099928688445,0.271363193866419,0.597193932383592
"ENSDARG00000063385",1408.05582731103,0.0838545757265104,0.102982465079366,0.81426071576249,0.41549560951288,0.719507227880959
"ENSDARG00000007804",332.48545473728,-0.125853135439865,0.123481074931076,-1.01920991139827,0.308103322239616,0.635246422029476
"ENSDARG00000068261",242.044327676181,-0.182834751111729,0.13013754178571,-1.40493472216336,0.160040690333089,0.471124381894302
"ENSDARG00000063371",533.392560247226,0.168230830779497,0.0911109693962151,1.84643881954444,0.0648285150294466,0.314109398648523
"ENSDARG00000078751",800.656791608602,-0.00482445719529242,0.112601942331949,-0.0428452395702909,0.965824901117113,0.987816583458694
"ENSDARG00000078878",8.93537546985781,0.730752619996865,0.559439736744445,1.30622222913471,0.191476995495905,NA
"ENSDARG00000016343",149.332541762105,-0.118184985274747,0.141606773750865,-0.834599801579231,0.403943073917338,0.71152197663003
"ENSDARG00000023678",175.126173986865,-0.0642016384590178,0.156822602670712,-0.409390211395897,0.682253321995275,0.871689791071147
"ENSDARG00000011299",514.333543623305,-0.15311660227061,0.096663261198854,-1.58402065450307,0.11318901893232,0.403982728311781
"ENSDARG00000041575",158.771408539717,-0.133830755145327,0.1323006962392,-1.01156501023517,0.31174608278597,0.638073520085263
"ENSDARG00000058962",68.0232750665741,-0.132453185542898,0.299532542720316,-0.442199649961154,0.658344739353306,0.858916309739486
"ENSDARG00000089799",2.4838815511991,1.53415685822195,1.41141857822848,1.08696093553447,0.277054074302061,NA
"ENSDARG00000075325",657.570745431374,-0.354358243866253,0.125425986319027,-2.82523784955476,0.00472455306849807,0.0870399450358212
"ENSDARG00000041570",373.822814195824,-0.272795080157892,0.114906874004623,-2.3740536196896,0.0175939953064645,0.169189071902609
"ENSDARG00000113329",47.2947823172377,0.417274636084009,0.256084581287519,1.62944068708109,0.103219761471706,0.387731175759746
"ENSDARG00000058996",49.285399617256,-0.433371365541486,0.241940844337848,-1.79122862337507,0.0732566147158502,0.330980523981845
"ENSDARG00000014313",891.211861852922,-0.383691970870267,0.1557600614785,-2.46335271845812,0.0137644433010026,0.149740225922025
