"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",9810.29665210412,0.223733942976304,0.131525728200529,1.70106598942522,0.0889305964823339,0.482027836913733
"ENSDARG00000102407",233.231173984353,-0.237358640866621,0.152693679046897,-1.55447587842664,0.120070946083454,0.547710430674347
"ENSDARG00000102097",114.317730009636,-0.0139788403627111,0.223598116649857,-0.062517701723764,0.950150565576096,0.991060048621667
"ENSDARG00000099640",258.856346981373,-0.225759180101803,0.183651349558556,-1.22928135646409,0.218966334847051,0.68562759519338
"ENSDARG00000104071",217.126235745813,-0.109485148843253,0.13578183156728,-0.806331359501531,0.420051813272915,0.830558779844379
"ENSDARG00000102746",549.628264752915,-0.274334740542481,0.149664899527274,-1.83299318283033,0.0668035848942209,0.428313710443944
"ENSDARG00000103929",434.606176710265,0.155473400662671,0.114684146756913,1.35566601888067,0.175205455960515,0.632960766493268
"ENSDARG00000101073",31.6104471716104,0.172285775110262,0.291675728402981,0.590675734500031,0.554737709589687,0.891711894027892
"ENSDARG00000100223",1346.91221372625,0.0629153573940628,0.0675069510215047,0.931983394925077,0.351345106966379,0.788326855560705
"ENSDARG00000100782",82.6665182094506,0.430685983143873,0.193991770367123,2.22012502040068,0.0264102822165053,0.263541961995283
"ENSDARG00000034862",120.137356045191,0.140923715039199,0.171726620712565,0.820628243043786,0.411858055211105,0.825313295351843
"ENSDARG00000075827",134.505799515159,0.137571703641612,0.172821747617461,0.796032360152529,0.426013226778651,0.833445871191529
"ENSDARG00000088581",1033.05071603126,0.115201467087584,0.0897713606976056,1.28327638338511,0.199395263606117,0.666077775909573
"ENSDARG00000076900",41.6542735641947,0.403122445845315,0.27808204079406,1.4496529322577,0.14715532727836,0.595422857165812
"ENSDARG00000013802",244.485179428765,-0.0254702937225322,0.12812226778806,-0.198796775628927,0.842421718329143,0.9711488678015
"ENSDARG00000096578",568.747281679624,-0.0235944275374058,0.0906509146160079,-0.260277876261375,0.794649436836602,0.962430369117435
"ENSDARG00000109848",1.34596491225022,0.0483544335489202,1.60429616195261,0.0301405904319234,0.975954928940935,NA
"ENSDARG00000100181",169.592597715374,-0.0807568625027717,0.157671045111287,-0.512185750058117,0.608521015203808,0.909157149333498
"ENSDARG00000029936",126.84111676505,0.40409278993514,0.164331421335299,2.45901110482477,0.0139320308308887,0.18475002356429
"ENSDARG00000041589",25.6543270233883,0.178501878179656,0.31043554891382,0.575004630765435,0.565288165165989,0.895558421550524
"ENSDARG00000041592",355.042984426159,-0.00945161689509561,0.0979814682298046,-0.0964633115409936,0.923152611151222,0.985834745280466
"ENSDARG00000075108",80.0081495939215,-0.0563141836457266,0.213938220369282,-0.263226381655983,0.792376097969264,0.961823630637775
"ENSDARG00000016304",243.014268999688,-0.0829017592516161,0.11655962447549,-0.711239072917987,0.476936099659224,0.858775760264312
"ENSDARG00000058803",332.865633538152,0.0525115180644572,0.141921686716347,0.370003480647816,0.711379896981589,0.937566119298553
"ENSDARG00000063385",1429.72196019597,-0.139690825475838,0.100959509547648,-1.38363217196405,0.166471112066004,0.623124741482679
"ENSDARG00000007804",354.143129667693,-0.0748569800191893,0.137347535521011,-0.545018734666251,0.585740632575327,0.90283302729929
"ENSDARG00000068261",244.365026097213,0.1352230032869,0.13720803575429,0.985532680673714,0.324362486847636,0.770429365256915
"ENSDARG00000063371",484.226310517876,0.0901011328220498,0.0989618808723924,0.910463018970222,0.362578376097022,0.794684508935815
"ENSDARG00000078751",882.946180630289,-0.278914682391508,0.106596543091234,-2.61654528658393,0.00888245807338832,0.137596758946371
"ENSDARG00000078878",7.3254473498101,-0.266053615411829,0.622060907611507,-0.427697050492018,0.66887169755959,0.92694272151642
"ENSDARG00000016343",156.564048497135,-0.0413677034221503,0.146344193912084,-0.282674032473073,0.777426723804212,0.957181452207932
"ENSDARG00000023678",174.831720147594,0.051511495061884,0.162161423018509,0.317655667439503,0.750746142894945,0.950470810764175
"ENSDARG00000011299",541.275987648763,-0.0130485116982434,0.0848779988120151,-0.153732555914081,0.877820614002908,0.977577888017347
"ENSDARG00000041575",152.674464114459,0.229671685842505,0.141472994516934,1.623431288966,0.104497240603474,0.518319059948499
"ENSDARG00000058962",64.3026118232492,0.283753990033724,0.314482355032585,0.902289064848562,0.366903332924345,0.797297979696789
"ENSDARG00000089799",1.37489195823631,-0.231408842024,1.6086361874567,-0.143854057137595,0.885615715333284,NA
"ENSDARG00000075325",719.469961321298,0.0682958968596694,0.121254104351652,0.563246062678445,0.573267340751004,0.898905296268445
